OriginalColumnName,ModifiedColumnName,AnswerType,Position
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting",This_Year_PrepareForWorkAndCommuting_At_Remote_Work_Hours,Opinion,Employee
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working",This_Year_Work_At_Remote_Work_Hours,Opinion,Employee
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities",This_Year_CaringAndResponsibilities_At_Remote_Work_Hours,Opinion,Employee
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time",This_Year_PersonalAndFamilyTime_At_Remote_Work_Hours,Opinion,Employee
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep",This_Year_Sleep_At_Remote_Work_Hours,Opinion,Employee
"Imagine your employer offered you the option to work remotely whenever you chose, in return for negotiating a pay cut that you both agree on.  Would you be interested in negotiating?   ",Has_Negotiate_PayCut_To_Work_Remotely,Preferral,Employee
What is the biggest pay cut you would accept?   Please give your answer as a percentage.  ,Biggest_PayCut_Percentage,Actual,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My caring responsibilities,Past_6Months_Remote_Work_Barriers_State_Caring_Responsibilities,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Connectivity (for example internet),Past_6Months_Remote_Work_Barriers_State_Connectivity,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My organisation's software and systems,Past_6Months_Remote_Work_Barriers_State_Org_Software_System,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Difficulty collaborating remotely,Past_6Months_Remote_Work_Barriers_State_Collaporation,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Poor management,Past_6Months_Remote_Work_Barriers_State_Poor_Mnagement,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - IT equipment (computer or printer),Past_6Months_Remote_Work_Barriers_State_IT_Equipment,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Feeling left out and/or isolated,Past_6Months_Remote_Work_Barriers_State_Feeling_Isolated,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Extra costs,Past_6Months_Remote_Work_Barriers_State_Extra_Costs,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Cyber security,Past_6Months_Remote_Work_Barriers_State_Cyper_Security,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - I have tasks that can't be done remotely,Past_6Months_Remote_Work_Barriers_State_Workplace_Only_Tasks,Opinion,Employee
"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Past_6Months_Remote_Work_Barriers_State_Workspace,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Motivation,Past_6Months_Remote_Work_Barriers_State_Motivation,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Management discourages remote working,Past_6Months_Remote_Work_Barriers_State_Management_Remote_Work_Discouragement,Opinion,Employee
"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My living situation (e.g. location, home size, who I live with)",Past_6Months_Remote_Work_Barriers_State_Living_Situation,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Lack of remote working skills,Past_6Months_Remote_Work_Barriers_State_Remote_Work_Skills_Lack,Opinion,Employee
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My health and safety when working remotely,Past_6Months_Remote_Work_Barriers_State_Health_And_Safety,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup1,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup1,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup2,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup2,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup3,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup3,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup4,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup4,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup5,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup5,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup6,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup6,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup7,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup7,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup8,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup8,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup9,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup9,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup10,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup10,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup11,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup11,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup12,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup12,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup13,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup13,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,Hybrid_Work_Biggest_Barriers_ChoicesGrpoup14,Opinion,Employee
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,Hybrid_Work_Smallest_Barriers_ChoicesGrpoup14,Opinion,Employee
How strongly do you agree or disagree with the following statements?   - On days when I work remotely I feel better,Has_AgreedTo_Feel_Better_Working_Remotely,Opinion,Employee
How strongly do you agree or disagree with the following statements?   - On days when I work remotely I am more active,Has_AgreedTo_More_Active_Working_Remotely,Opinion,Employee
How strongly do you agree or disagree with the following statements?   - I feel better on days when I see my colleagues in person,Has_AgreedTo_Feel_Better_Working_OnSite,Opinion,Employee
Do you manage people as part of your current job?  ,Are_You_Manager,Opinion,All
Do employees you manage ever work remotely?  ,Have_Your_Employees_Work_Remotely,Actual,Employer/Manager
How strongly do you agree or disagree with the following statements?    - I have discretion to offer or deny remote work to employees I manage,Has_AgreedTo_Control_Employees_Working_Remotely,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Has_AgreedTo_Retain_Employees_Working_Remotely,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - Offering remote work helps me to recruit employees,Has_AgreedTo_Recruit_Employees_Working_Remotely,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - My team works well together when they work remotely,Has_AgreedTo_TeamWork_Working_Remotely_Well,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - I find it easy to manage employees remotely (e.g. tasking and monitoring progress),Has_AgreedTo_Manage_Employees_Easily_Working_Remotely,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - I find it easy to manage poor performers remotely,Has_AgreedTo_Manage_Poor_Performers_Easily_Working_Remotely,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - I feel well-prepared to manage employees remotely,Has_AgreedTo_Feel_Well_PreparedTo_Manage_Employees_Easily_Working_Remotely,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - Managing people remotely makes me more focused on results,Has_AgreedTo_Manage_Employees_Working_Remotely_FocusOnResults,Opinion,Employer/Manager
How strongly do you agree or disagree with the following statements?    - I find it easy to contact my employees when they work remotely,Has_AgreedTo_Contact_Employees_Easily_Working_Remotely,Opinion,Employer/Manager
"This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.    Please compare your productivity when you work remotely to when you work at your employer’s workplace.    Roughly how productive are you, each hour, when you work remotely?  ",Your_Productivity_Comparison,Actual,Employee
"Now think about the productivity of the employees you manage.   Roughly how productive are the employees you manage, each hour, when they work remotely?  ",Employees_Productivity_Comparison,Opinion,Employer/Manager
