ResponseID,MaxBiggestBarrier,Biggest_Barriers,MaxSmallestBarrier,Smallest_Barriers
35,2,I have tasks that can't be done remotely,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
36,4,Feeling left out and/or isolated,2,Poor management
37,3,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
38,3,Difficulty collaborating remotely,4,"IT equipment (computer, printer, etc.)"
39,2,Poor management,3,"My living situation (e.g. location, home size, who I live with)"
40,4,"My living situation (e.g. location, home size, who I live with)",3,"IT equipment (computer, printer, etc.)"
41,2,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
42,2,Lack of motivation,4,Lack of motivation
43,3,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
44,4,Difficulty collaborating remotely,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
45,4,Feeling left out and/or isolated,4,My organisation's software and systems
46,3,Lack of motivation,4,Management discourages remote working
47,2,Lack of motivation,3,Caring responsibilities
48,3,Management discourages remote working,3,Poor management
49,4,Difficulty collaborating remotely,4,Lack of motivation
50,4,Feeling left out and/or isolated,2,I have tasks that can't be done remotely
51,4,Lack of motivation,4,"IT equipment (computer, printer, etc.)"
52,4,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
53,3,Lack of motivation,3,Cyber security
54,3,Feeling left out and/or isolated,4,Caring responsibilities
55,2,My organisation's software and systems,3,Lack of motivation
56,4,Feeling left out and/or isolated,2,My organisation's software and systems
57,3,Caring responsibilities,4,Connectivity (internet connection)
58,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
59,3,Feeling left out and/or isolated,2,"My living situation (e.g. location, home size, who I live with)"
60,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
61,3,My organisation's software and systems,4,"My living situation (e.g. location, home size, who I live with)"
62,4,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
63,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Management discourages remote working
64,3,"IT equipment (computer, printer, etc.)",3,Lack of motivation
65,4,Difficulty collaborating remotely,3,Connectivity (internet connection)
66,3,Lack of motivation,3,"IT equipment (computer, printer, etc.)"
67,3,Lack of motivation,3,Connectivity (internet connection)
68,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Lack of motivation
69,4,Difficulty collaborating remotely,4,Lack of motivation
70,3,Feeling left out and/or isolated,4,Connectivity (internet connection)
71,4,Feeling left out and/or isolated,3,"IT equipment (computer, printer, etc.)"
72,4,Feeling left out and/or isolated,4,Lack of motivation
73,4,Connectivity (internet connection),2,"My living situation (e.g. location, home size, who I live with)"
74,3,Caring responsibilities,2,Lack of remote working skills
75,4,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
76,3,Lack of motivation,3,Lack of motivation
77,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Feeling left out and/or isolated
78,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Lack of remote working skills
79,3,Connectivity (internet connection),4,Lack of motivation
80,4,Connectivity (internet connection),4,Management discourages remote working
81,4,Lack of motivation,4,Poor management
82,4,Lack of motivation,2,"My living situation (e.g. location, home size, who I live with)"
83,4,Lack of motivation,3,Lack of motivation
84,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Feeling left out and/or isolated
85,3,Management discourages remote working,3,Poor management
86,3,Feeling left out and/or isolated,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
87,3,I have tasks that can't be done remotely,4,"My living situation (e.g. location, home size, who I live with)"
88,4,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
89,4,Feeling left out and/or isolated,4,Lack of motivation
90,4,Management discourages remote working,4,Lack of remote working skills
91,3,Lack of motivation,2,Lack of motivation
92,2,Management discourages remote working,3,Lack of motivation
93,3,Lack of motivation,4,Cyber security
94,2,Lack of remote working skills,4,"My living situation (e.g. location, home size, who I live with)"
95,3,Lack of motivation,3,Lack of motivation
96,3,Connectivity (internet connection),2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
97,4,Cyber security,3,Lack of motivation
98,3,Lack of motivation,2,Management discourages remote working
99,3,"IT equipment (computer, printer, etc.)",3,Lack of motivation
100,4,Difficulty collaborating remotely,3,Lack of motivation
101,3,Connectivity (internet connection),2,Poor management
102,4,Feeling left out and/or isolated,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
103,4,Connectivity (internet connection),2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
104,4,Difficulty collaborating remotely,4,Caring responsibilities
105,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Management discourages remote working
106,4,Feeling left out and/or isolated,3,My organisation's software and systems
107,4,Connectivity (internet connection),4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
108,3,Cyber security,4,My organisation's software and systems
109,4,Connectivity (internet connection),3,Lack of motivation
110,4,"My living situation (e.g. location, home size, who I live with)",3,Management discourages remote working
111,2,"My living situation (e.g. location, home size, who I live with)",2,Management discourages remote working
112,3,Difficulty collaborating remotely,3,Lack of motivation
113,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Management discourages remote working
114,2,Management discourages remote working,3,Lack of motivation
115,4,Poor management,2,"My living situation (e.g. location, home size, who I live with)"
116,4,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
117,3,Feeling left out and/or isolated,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
118,3,Lack of motivation,4,Lack of motivation
119,2,Management discourages remote working,2,"My living situation (e.g. location, home size, who I live with)"
120,4,Connectivity (internet connection),4,Lack of motivation
121,3,Lack of motivation,4,Poor management
122,3,Feeling left out and/or isolated,4,Management discourages remote working
123,3,Management discourages remote working,4,Lack of motivation
124,3,Lack of motivation,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
125,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Poor management
126,4,Management discourages remote working,3,Lack of motivation
127,5,"IT equipment (computer, printer, etc.)",4,Lack of motivation
128,4,Lack of motivation,2,Lack of motivation
129,3,Lack of motivation,3,Management discourages remote working
130,4,Feeling left out and/or isolated,3,Management discourages remote working
131,4,Poor management,3,"My living situation (e.g. location, home size, who I live with)"
132,4,"IT equipment (computer, printer, etc.)",3,I have tasks that can't be done remotely
133,3,Management discourages remote working,3,"IT equipment (computer, printer, etc.)"
134,4,"IT equipment (computer, printer, etc.)",4,Connectivity (internet connection)
135,4,Lack of motivation,3,Poor management
136,4,Poor management,3,My organisation's software and systems
137,3,Feeling left out and/or isolated,3,"IT equipment (computer, printer, etc.)"
138,3,Cyber security,3,Feeling left out and/or isolated
139,3,Lack of motivation,2,"My living situation (e.g. location, home size, who I live with)"
140,4,Poor management,2,Lack of motivation
141,3,Lack of motivation,4,Caring responsibilities
142,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Connectivity (internet connection)
143,3,Caring responsibilities,4,Cyber security
144,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Lack of motivation
145,4,Poor management,3,"My living situation (e.g. location, home size, who I live with)"
146,3,Poor management,3,Feeling left out and/or isolated
147,2,"IT equipment (computer, printer, etc.)",3,"My living situation (e.g. location, home size, who I live with)"
148,3,Connectivity (internet connection),4,Lack of motivation
149,4,Difficulty collaborating remotely,3,Management discourages remote working
150,4,Lack of motivation,3,Cyber security
151,4,Feeling left out and/or isolated,4,Cyber security
152,4,Lack of motivation,3,My organisation's software and systems
153,2,My organisation's software and systems,3,I have tasks that can't be done remotely
154,3,Cyber security,4,Lack of motivation
155,3,"IT equipment (computer, printer, etc.)",4,"My living situation (e.g. location, home size, who I live with)"
156,3,I have tasks that can't be done remotely,3,Difficulty collaborating remotely
157,2,Poor management,3,Lack of remote working skills
158,2,Lack of motivation,2,"My living situation (e.g. location, home size, who I live with)"
159,2,Lack of motivation,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
160,3,"My living situation (e.g. location, home size, who I live with)",2,My organisation's software and systems
161,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
162,4,Cyber security,4,Feeling left out and/or isolated
163,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of remote working skills
164,4,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
165,3,"IT equipment (computer, printer, etc.)",3,"My living situation (e.g. location, home size, who I live with)"
166,3,Management discourages remote working,4,Lack of motivation
167,2,Connectivity (internet connection),2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
168,4,Connectivity (internet connection),4,Feeling left out and/or isolated
169,4,Management discourages remote working,3,Connectivity (internet connection)
170,4,Feeling left out and/or isolated,4,Management discourages remote working
171,3,Management discourages remote working,4,Lack of remote working skills
172,3,Feeling left out and/or isolated,4,Lack of motivation
173,3,Cyber security,4,Lack of motivation
174,4,Connectivity (internet connection),4,Caring responsibilities
175,3,Feeling left out and/or isolated,4,Lack of motivation
176,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
177,3,Lack of motivation,2,Lack of remote working skills
178,2,"IT equipment (computer, printer, etc.)",2,Poor management
179,2,"My living situation (e.g. location, home size, who I live with)",2,Poor management
180,2,Management discourages remote working,4,Lack of motivation
181,4,Caring responsibilities,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
182,2,Lack of remote working skills,3,Cyber security
183,3,"My living situation (e.g. location, home size, who I live with)",2,Management discourages remote working
184,3,Lack of motivation,4,Connectivity (internet connection)
185,3,Feeling left out and/or isolated,4,My organisation's software and systems
186,4,Connectivity (internet connection),3,Management discourages remote working
187,4,Lack of motivation,3,Management discourages remote working
188,4,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
189,2,Lack of motivation,2,Lack of motivation
190,4,"IT equipment (computer, printer, etc.)",3,Management discourages remote working
191,2,Poor management,4,Cyber security
192,2,Lack of remote working skills,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
193,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Lack of motivation
194,4,Lack of motivation,4,Feeling left out and/or isolated
195,4,"IT equipment (computer, printer, etc.)",3,Cyber security
196,4,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
197,4,Difficulty collaborating remotely,3,"IT equipment (computer, printer, etc.)"
198,2,My organisation's software and systems,4,Caring responsibilities
199,4,Management discourages remote working,2,Poor management
200,3,Feeling left out and/or isolated,4,Cyber security
201,4,Difficulty collaborating remotely,3,Poor management
202,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,"IT equipment (computer, printer, etc.)"
203,3,Poor management,4,Cyber security
204,4,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
205,4,Caring responsibilities,3,Lack of remote working skills
206,3,Poor management,3,Lack of motivation
207,3,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
208,3,Lack of motivation,4,Caring responsibilities
209,3,Lack of motivation,4,Poor management
210,4,Lack of motivation,4,Lack of motivation
211,4,Lack of motivation,4,Connectivity (internet connection)
212,3,Management discourages remote working,3,Lack of motivation
213,3,"IT equipment (computer, printer, etc.)",3,Cyber security
214,4,Lack of motivation,2,"My living situation (e.g. location, home size, who I live with)"
215,4,Feeling left out and/or isolated,4,Caring responsibilities
216,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Difficulty collaborating remotely
217,3,Difficulty collaborating remotely,4,Lack of motivation
218,3,Lack of motivation,3,Management discourages remote working
219,4,Lack of motivation,3,Lack of motivation
220,4,"IT equipment (computer, printer, etc.)",3,Difficulty collaborating remotely
221,4,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
222,4,Feeling left out and/or isolated,3,Lack of remote working skills
223,4,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
224,5,"IT equipment (computer, printer, etc.)",3,Connectivity (internet connection)
225,2,Lack of remote working skills,3,I have tasks that can't be done remotely
226,3,"My living situation (e.g. location, home size, who I live with)",2,Management discourages remote working
227,4,Feeling left out and/or isolated,3,Lack of motivation
228,3,Poor management,4,Lack of remote working skills
229,3,Lack of remote working skills,2,My organisation's software and systems
230,3,Difficulty collaborating remotely,4,Lack of motivation
231,4,Connectivity (internet connection),4,Feeling left out and/or isolated
232,4,Connectivity (internet connection),3,Feeling left out and/or isolated
233,3,Feeling left out and/or isolated,4,Poor management
234,4,"My living situation (e.g. location, home size, who I live with)",4,My organisation's software and systems
235,3,Difficulty collaborating remotely,3,Cyber security
236,3,Poor management,3,Lack of remote working skills
237,3,Cyber security,3,Poor management
238,3,Lack of remote working skills,2,My organisation's software and systems
239,4,Caring responsibilities,4,Feeling left out and/or isolated
240,4,"IT equipment (computer, printer, etc.)",4,Poor management
241,3,Difficulty collaborating remotely,3,Caring responsibilities
242,4,Caring responsibilities,3,Cyber security
243,3,Cyber security,3,Lack of motivation
244,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Poor management
245,4,Lack of motivation,2,Lack of remote working skills
246,3,Difficulty collaborating remotely,3,Poor management
247,4,Difficulty collaborating remotely,4,Lack of motivation
248,4,Feeling left out and/or isolated,4,Caring responsibilities
249,3,Lack of motivation,3,Connectivity (internet connection)
250,4,Feeling left out and/or isolated,2,"My living situation (e.g. location, home size, who I live with)"
251,4,Management discourages remote working,4,Caring responsibilities
252,4,Lack of motivation,4,"IT equipment (computer, printer, etc.)"
253,4,"IT equipment (computer, printer, etc.)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
254,3,Feeling left out and/or isolated,3,Lack of motivation
255,4,Difficulty collaborating remotely,3,Feeling left out and/or isolated
256,3,Lack of motivation,3,Cyber security
257,4,Connectivity (internet connection),4,"My living situation (e.g. location, home size, who I live with)"
258,4,"IT equipment (computer, printer, etc.)",3,"My living situation (e.g. location, home size, who I live with)"
259,3,Difficulty collaborating remotely,3,My organisation's software and systems
260,3,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
261,4,Management discourages remote working,3,Lack of motivation
262,4,Connectivity (internet connection),2,"My living situation (e.g. location, home size, who I live with)"
263,4,Feeling left out and/or isolated,2,Poor management
264,4,Lack of motivation,2,My organisation's software and systems
265,3,Poor management,4,Lack of motivation
266,4,Feeling left out and/or isolated,4,Lack of motivation
267,2,Lack of remote working skills,2,Lack of motivation
268,3,Lack of motivation,3,Lack of motivation
269,3,Lack of motivation,4,"My living situation (e.g. location, home size, who I live with)"
270,4,Caring responsibilities,2,Management discourages remote working
271,4,Management discourages remote working,4,"My living situation (e.g. location, home size, who I live with)"
272,4,Feeling left out and/or isolated,4,Management discourages remote working
273,4,Feeling left out and/or isolated,4,Caring responsibilities
274,3,Lack of motivation,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
275,3,Feeling left out and/or isolated,4,Caring responsibilities
276,2,"My living situation (e.g. location, home size, who I live with)",2,Management discourages remote working
277,3,Lack of motivation,3,Feeling left out and/or isolated
278,4,Poor management,4,Feeling left out and/or isolated
279,3,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
280,4,"IT equipment (computer, printer, etc.)",4,Poor management
281,4,Connectivity (internet connection),4,Lack of motivation
282,4,Feeling left out and/or isolated,4,Caring responsibilities
283,4,"My living situation (e.g. location, home size, who I live with)",4,My organisation's software and systems
284,3,Difficulty collaborating remotely,3,Lack of motivation
285,4,Connectivity (internet connection),4,Caring responsibilities
286,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of motivation
287,4,Poor management,4,Feeling left out and/or isolated
288,3,Connectivity (internet connection),4,Management discourages remote working
289,2,"My living situation (e.g. location, home size, who I live with)",3,My organisation's software and systems
290,4,Difficulty collaborating remotely,3,My organisation's software and systems
291,3,Lack of motivation,4,Feeling left out and/or isolated
292,4,Connectivity (internet connection),4,Feeling left out and/or isolated
293,3,Difficulty collaborating remotely,3,Lack of remote working skills
294,2,Poor management,2,I have tasks that can't be done remotely
295,2,I have tasks that can't be done remotely,3,Cyber security
296,4,Feeling left out and/or isolated,3,Management discourages remote working
297,4,Management discourages remote working,4,Connectivity (internet connection)
298,3,Lack of motivation,3,"IT equipment (computer, printer, etc.)"
299,3,Feeling left out and/or isolated,3,"IT equipment (computer, printer, etc.)"
300,3,Lack of motivation,3,Management discourages remote working
301,3,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
302,4,Lack of motivation,4,Lack of motivation
303,3,Feeling left out and/or isolated,3,Management discourages remote working
304,4,Feeling left out and/or isolated,3,Lack of motivation
305,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
306,4,Difficulty collaborating remotely,4,Lack of motivation
307,3,"IT equipment (computer, printer, etc.)",3,Lack of motivation
308,3,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
309,3,Lack of motivation,4,Caring responsibilities
310,3,Lack of motivation,3,I have tasks that can't be done remotely
311,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
312,4,Difficulty collaborating remotely,4,Poor management
313,4,Feeling left out and/or isolated,3,Lack of motivation
314,3,"IT equipment (computer, printer, etc.)",3,Management discourages remote working
315,3,Management discourages remote working,4,Lack of motivation
316,5,Difficulty collaborating remotely,3,"My living situation (e.g. location, home size, who I live with)"
317,4,Difficulty collaborating remotely,4,Connectivity (internet connection)
318,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Caring responsibilities
319,3,Lack of motivation,2,Lack of motivation
320,3,Lack of motivation,3,Poor management
321,4,Poor management,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
322,3,Cyber security,4,I have tasks that can't be done remotely
323,2,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
324,3,Connectivity (internet connection),4,Caring responsibilities
325,3,Difficulty collaborating remotely,4,Lack of motivation
326,4,Lack of motivation,4,Connectivity (internet connection)
327,3,Lack of motivation,3,Lack of motivation
328,2,Management discourages remote working,4,Feeling left out and/or isolated
329,3,Feeling left out and/or isolated,3,Lack of remote working skills
330,3,Management discourages remote working,4,"My living situation (e.g. location, home size, who I live with)"
331,3,Lack of motivation,4,Feeling left out and/or isolated
332,4,Connectivity (internet connection),3,"My living situation (e.g. location, home size, who I live with)"
333,3,Management discourages remote working,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
334,3,Lack of motivation,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
335,4,Connectivity (internet connection),4,Lack of motivation
336,3,My organisation's software and systems,3,Feeling left out and/or isolated
337,3,Cyber security,3,Feeling left out and/or isolated
338,3,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
339,3,"My living situation (e.g. location, home size, who I live with)",3,Lack of remote working skills
340,2,My organisation's software and systems,2,Poor management
341,4,Connectivity (internet connection),3,Poor management
342,3,"IT equipment (computer, printer, etc.)",2,My organisation's software and systems
343,2,Management discourages remote working,2,Management discourages remote working
344,2,Caring responsibilities,2,"My living situation (e.g. location, home size, who I live with)"
345,3,Feeling left out and/or isolated,3,Lack of remote working skills
346,4,Feeling left out and/or isolated,4,Caring responsibilities
347,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Lack of motivation
348,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Caring responsibilities
349,3,Management discourages remote working,4,Caring responsibilities
350,4,Management discourages remote working,4,Caring responsibilities
351,3,Lack of motivation,3,I have tasks that can't be done remotely
352,4,Difficulty collaborating remotely,4,"IT equipment (computer, printer, etc.)"
353,2,My organisation's software and systems,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
354,4,"IT equipment (computer, printer, etc.)",3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
355,2,Management discourages remote working,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
356,3,I have tasks that can't be done remotely,4,Lack of motivation
357,4,Connectivity (internet connection),4,"My living situation (e.g. location, home size, who I live with)"
358,4,Feeling left out and/or isolated,3,Lack of motivation
359,3,I have tasks that can't be done remotely,4,Lack of motivation
360,3,"IT equipment (computer, printer, etc.)",3,Feeling left out and/or isolated
361,3,Connectivity (internet connection),4,Lack of remote working skills
362,4,Poor management,3,Caring responsibilities
363,4,Feeling left out and/or isolated,3,Lack of motivation
364,3,Lack of remote working skills,2,My organisation's software and systems
365,3,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
366,4,Lack of motivation,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
367,3,Cyber security,4,Lack of motivation
368,4,Difficulty collaborating remotely,4,Caring responsibilities
369,3,Lack of motivation,3,Connectivity (internet connection)
370,4,Connectivity (internet connection),4,Feeling left out and/or isolated
371,4,Feeling left out and/or isolated,4,Caring responsibilities
372,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Lack of motivation
373,3,Management discourages remote working,3,My organisation's software and systems
374,3,"My living situation (e.g. location, home size, who I live with)",3,Lack of remote working skills
375,3,Lack of remote working skills,3,Management discourages remote working
376,5,Difficulty collaborating remotely,3,My organisation's software and systems
377,4,Lack of motivation,2,My organisation's software and systems
378,3,Connectivity (internet connection),3,Caring responsibilities
379,4,Management discourages remote working,4,Cyber security
380,3,"My living situation (e.g. location, home size, who I live with)",3,"IT equipment (computer, printer, etc.)"
381,2,"My living situation (e.g. location, home size, who I live with)",4,Cyber security
382,3,I have tasks that can't be done remotely,4,Lack of motivation
383,3,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
384,3,Lack of motivation,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
385,3,Management discourages remote working,4,Lack of motivation
386,4,Difficulty collaborating remotely,4,Caring responsibilities
387,3,"My living situation (e.g. location, home size, who I live with)",2,Poor management
388,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
389,3,Lack of motivation,4,"My living situation (e.g. location, home size, who I live with)"
390,3,Connectivity (internet connection),4,I have tasks that can't be done remotely
391,3,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
392,4,"My living situation (e.g. location, home size, who I live with)",4,Caring responsibilities
393,3,Lack of motivation,2,Lack of remote working skills
394,3,Feeling left out and/or isolated,3,Poor management
395,3,Feeling left out and/or isolated,4,Management discourages remote working
396,4,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
397,3,Lack of motivation,4,Connectivity (internet connection)
398,4,Difficulty collaborating remotely,4,Lack of motivation
399,2,My organisation's software and systems,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
400,3,Lack of motivation,4,Difficulty collaborating remotely
401,2,Poor management,2,Poor management
402,4,Cyber security,4,"My living situation (e.g. location, home size, who I live with)"
403,3,Connectivity (internet connection),4,Difficulty collaborating remotely
404,3,Connectivity (internet connection),3,Lack of motivation
405,3,"IT equipment (computer, printer, etc.)",4,Management discourages remote working
406,3,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
407,3,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
408,4,Lack of motivation,4,Management discourages remote working
409,4,"My living situation (e.g. location, home size, who I live with)",3,Poor management
410,3,Management discourages remote working,3,Lack of motivation
411,4,Difficulty collaborating remotely,2,"IT equipment (computer, printer, etc.)"
412,3,Lack of motivation,3,My organisation's software and systems
413,3,Connectivity (internet connection),4,Lack of motivation
414,3,Difficulty collaborating remotely,4,Lack of motivation
415,2,Lack of remote working skills,4,Caring responsibilities
416,4,Management discourages remote working,4,Feeling left out and/or isolated
417,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Lack of remote working skills
418,4,Difficulty collaborating remotely,4,Management discourages remote working
419,4,Cyber security,4,Lack of motivation
420,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Connectivity (internet connection)
421,3,Feeling left out and/or isolated,4,Connectivity (internet connection)
422,4,Management discourages remote working,4,Lack of motivation
423,4,Feeling left out and/or isolated,4,Management discourages remote working
424,3,"My living situation (e.g. location, home size, who I live with)",3,My organisation's software and systems
425,3,Lack of remote working skills,4,Feeling left out and/or isolated
426,3,Poor management,4,I have tasks that can't be done remotely
427,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Poor management
428,4,Difficulty collaborating remotely,2,Connectivity (internet connection)
429,4,Connectivity (internet connection),3,Management discourages remote working
430,4,Difficulty collaborating remotely,2,Poor management
431,3,Caring responsibilities,2,Poor management
432,2,Poor management,2,"My living situation (e.g. location, home size, who I live with)"
433,3,Caring responsibilities,4,Lack of motivation
434,4,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
435,3,Poor management,4,Lack of motivation
436,4,Feeling left out and/or isolated,3,Connectivity (internet connection)
437,2,"My living situation (e.g. location, home size, who I live with)",3,Feeling left out and/or isolated
438,2,Lack of remote working skills,4,Poor management
439,3,Lack of motivation,2,"My living situation (e.g. location, home size, who I live with)"
440,4,Lack of motivation,4,Lack of motivation
441,4,Difficulty collaborating remotely,4,Connectivity (internet connection)
442,3,Difficulty collaborating remotely,3,"My living situation (e.g. location, home size, who I live with)"
443,4,"IT equipment (computer, printer, etc.)",3,Difficulty collaborating remotely
444,3,My organisation's software and systems,4,Lack of motivation
445,3,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
446,2,"IT equipment (computer, printer, etc.)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
447,2,Poor management,4,Lack of motivation
448,4,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
