OriginalColumnName,ModifiedColumnName,AnswerType,Position
"From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup3,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup4,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup4,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Cyber security ; Lack of motivation ; Lack of motivation",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup5,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Cyber security ; Lack of motivation ; Lack of motivation",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup5,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup6,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup6,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup7,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup7,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup8,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup8,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup9,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup9,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup10,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup10,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities,The_Best_AspectOf_Remote_Work_ChoicesGrpoup1,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities,The_Worst_AspectOf_Remote_Work_ChoicesGrpoup1,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,The_Best_AspectOf_Remote_Work_ChoicesGrpoup2,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,The_Worst_AspectOf_Remote_Work_ChoicesGrpoup2,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; My daily expenses ; My personal relationships ; My job satisfaction,The_Best_AspectOf_Remote_Work_ChoicesGrpoup3,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; My daily expenses ; My personal relationships ; My job satisfaction,The_Worst_AspectOf_Remote_Work_ChoicesGrpoup3,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the best aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,The_Best_AspectOf_Remote_Work_ChoicesGrpoup4,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the worst aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,The_Worst_AspectOf_Remote_Work_ChoicesGrpoup4,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the best aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; My daily expenses ; My personal relationships ; My job satisfaction,The_Best_AspectOf_Remote_Work_ChoicesGrpoup5,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the worst aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; My daily expenses ; My personal relationships ; My job satisfaction,The_Worst_AspectOf_Remote_Work_ChoicesGrpoup5,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the best aspect of remote working for you - Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing ; My daily expenses ; My personal relationships ; My job satisfaction,The_Best_AspectOf_Remote_Work_ChoicesGrpoup6,Opinion,Employee
Compare remote working to working at your employer’s workplace. Select the worst aspect of remote working for you - Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing ; My daily expenses ; My personal relationships ; My job satisfaction,The_Worst_AspectOf_Remote_Work_ChoicesGrpoup6,Opinion,Employee
