Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Last_Year_Actual_Work_Time_Remotely,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_Year_Preferred_Work_Time_Remotely,Last_3Months_Actual_Work_Time_Remotely,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_3Months_Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Best_Aspects,Worst_Aspects
18,1960,Male,Financial and Insurance Services,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Strongly agree,5,Somewhat disagree,2,Strongly agree,5,Strongly agree,5,Somewhat disagree,2,Strongly disagree,1," 40%"," 10%",Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Somewhat disagree,2,Somewhat disagree,2," 40%"," 40%",Somewhat disagree,2,Somewhat agree,4,Strongly agree,5,Less Productive By 30 %,3,10,2,2,1,12,2,2,Feeling left out and/or isolated,Lack of motivation,My daily expenses,My mental wellbeing
19,1966,Male,"Professional, Scientific and Technical Services",Sales  - Sales Representatives and Agents,Between 5 and 19,3,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 30%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 30%"," 50% - About half of my time",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,0.5,4,8,0.5,0,5,8,0.5,Poor management,Cyber security,My work-life balance,The number of hours  I work
20,1969,Male,Public Administration and Safety,"Community and personal service  - Protective Service ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 40%",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Somewhat agree,4,Somewhat agree,4," 60%"," 10%",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Somewhat agree,4,Somewhat agree,4," 40%"," 40%",Strongly disagree,1,Strongly disagree,1,Somewhat disagree,2,More Productive By 50 %,2,8,1,3,0.5,8,1.5,3,Poor management,"My living situation (e.g. location, home size, who I live with)",Managing my personal commitments,My on-the-job learning opportunities
21,1961,Male,"Electricity, Gas, Water and Waste Services",Managers - Specialist Managers,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 20%",100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,100% - All of my time," 90%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Level Of The Productivity Is The Same,3,8,2,2,0.5,8,4,3,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Managing my family responsibilities,My mental wellbeing
22,1969,Male,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time"," 90%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 70%"," 60%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,2,7,9,6,0.5,9,9.5,5,Difficulty collaborating remotely,My organisation's software and systems,The number of hours  I work,My job satisfaction
23,1959,Male,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 80%",Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5," 50% - About half of my time"," 80%",Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5," 80%"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 20 %,1.5,7.5,4,3,1,7.5,2,2,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Preparing for work and commuting,My opportunities to socialise
24,1963,Male,Public Administration and Safety,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4," 20%"," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 40 %,2,8,10,4,0,8,12,4,"IT equipment (computer, printer, etc.)",Caring responsibilities,My daily expenses,My opportunities to socialise
25,1962,Male,Financial and Insurance Services,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 10%",Neither agree nor disagree,3,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5," 70%"," 90%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,100% - All of my time," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,3,10,3,2,1,11,5,2,Difficulty collaborating remotely,Lack of motivation,My work-life balance,My working relationships
26,1965,Male,Accommodation and Food Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Somewhat disagree,2,Strongly disagree,1,Somewhat disagree,2,Strongly disagree,1,Somewhat agree,4," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Somewhat disagree,2,Strongly disagree,1,Neither agree nor disagree,3," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 30 %,2,10,10,2,0,10,10,4,Difficulty collaborating remotely,Connectivity (internet connection),Managing my personal commitments,My working relationships
27,1962,Female,Financial and Insurance Services,"Professionals - Legal, Social and Welfare Professionals",More than 200,5,Yes,Other one family household,5,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Strongly disagree,1,Somewhat disagree,2,Neither agree nor disagree,3," 20%"," 80%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 40%"," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 10 %,2,6,0.5,0,0,8,1,0,Difficulty collaborating remotely,Caring responsibilities,My daily expenses,My mental wellbeing
28,1963,Female,"Transport, Postal and Warehousing","Clerical and administrative  - Other Clerical and Administrative ",Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 0% - I would not have preferred to work remotely",100% - All of my time,Strongly agree,5,Neither agree nor disagree,3,Strongly disagree,1,Level Of The Productivity Is The Same,0.5,6,8,2,0.5,6,10,2,Lack of motivation,Poor management,My opportunities to socialise,Preparing for work and commuting
29,1984,Female,"Professional, Scientific and Technical Services","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 40%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3," 30%"," 30%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 30%"," 30%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 30 %,1,8,5,2,1,8,6,6,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",My working relationships,My work-life balance
30,1957,Male,Education and Training,Professionals - Education Professionals,I am the only employee,1,No,Single person,1,More than 5 years,3,Regional," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 60%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 60%"," 60%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 30 %,2,8,4,0,0,8,5,1,Poor management,"IT equipment (computer, printer, etc.)",Preparing for work and commuting,My opportunities to socialise
31,1962,Male,Public Administration and Safety,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 10%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 30%"," 80%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 80%"," 60%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Less Productive By 10 %,1,8.5,3,2,0,9.5,4,3,Lack of motivation,My organisation's software and systems,Managing my personal commitments,The number of hours  I work
32,1958,Male,Financial and Insurance Services,Managers - Specialist Managers,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 50% - I spent about half of my time remote working",Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5," 80%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,4,8.5,3.5,1,0,9.5,3.5,1,Feeling left out and/or isolated,My organisation's software and systems,Preparing for work and commuting,My work-life balance
33,1961,Male,Arts and Recreation Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 90%",Strongly agree,5,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat agree,4,Somewhat disagree,2,Somewhat disagree,2," 30%"," 90%",Strongly agree,5,Neither agree nor disagree,3,Somewhat agree,4,Strongly agree,5,Strongly disagree,1,Somewhat disagree,2," 30%"," 30%",Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 30 %,2,8,8,6,1,10,5,8,"My living situation (e.g. location, home size, who I live with)",Connectivity (internet connection),My daily expenses,My work-life balance
34,1959,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 20%",Strongly disagree,1,Somewhat agree,4,Strongly disagree,1,Strongly disagree,1,Somewhat agree,4,Neither agree nor disagree,3," 50% - About half of my time",100% - I spent all of my time remote working,Strongly disagree,1,Somewhat agree,4,Somewhat disagree,2,Strongly disagree,1,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Strongly disagree,1,Somewhat disagree,2,Somewhat disagree,2,More Productive By 30 %,1,6,2,1,1,8,2,1,Connectivity (internet connection),I have tasks that can't be done remotely,My work-life balance,Preparing for work and commuting
