ID,Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Actual_Work_Time_Remotely,Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Year
19,19,1966,Male,"Professional, Scientific and Technical Services",Sales  - Sales Representatives and Agents,Between 5 and 19,3,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,0.5,4,8,0.5,0,5,8,0.5,Poor management,Cyber security,2020
20,20,1969,Male,Public Administration and Safety,"Community and personal service  - Protective Service ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 40%"," 60%"," 40%",Strongly disagree,1,Strongly disagree,1,Somewhat disagree,2,More Productive By 50 %,2,8,1,3,0.5,8,1.5,3,Poor management,"My living situation (e.g. location, home size, who I live with)",2020
21,21,1961,Male,"Electricity, Gas, Water and Waste Services",Managers - Specialist Managers,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 20%"," 20%"," 90%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Level Of The Productivity Is The Same,3,8,2,2,0.5,8,4,3,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",2020
22,22,1969,Male,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 50% - About half of my time"," 60%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,2,7,9,6,0.5,9,9.5,5,Difficulty collaborating remotely,My organisation's software and systems,2020
23,23,1959,Male,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 80%"," 50% - About half of my time"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 20 %,1.5,7.5,4,3,1,7.5,2,2,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",2020
24,24,1963,Male,Public Administration and Safety,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 30%"," 20%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 40 %,2,8,10,4,0,8,12,4,"IT equipment (computer, printer, etc.)",Caring responsibilities,2020
25,25,1962,Male,Financial and Insurance Services,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 10%"," 70%"," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,3,10,3,2,1,11,5,2,Difficulty collaborating remotely,Lack of motivation,2020
26,26,1965,Male,Accommodation and Food Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 30 %,2,10,10,2,0,10,10,4,Difficulty collaborating remotely,Connectivity (internet connection),2020
27,27,1962,Female,Financial and Insurance Services,"Professionals - Legal, Social and Welfare Professionals",More than 200,5,Yes,Other one family household,5,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 20%"," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 10 %,2,6,0.5,0,0,8,1,0,Difficulty collaborating remotely,Caring responsibilities,2020
28,28,1963,Female,"Transport, Postal and Warehousing","Clerical and administrative  - Other Clerical and Administrative ",Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Strongly agree,5,Neither agree nor disagree,3,Strongly disagree,1,Level Of The Productivity Is The Same,0.5,6,8,2,0.5,6,10,2,Lack of motivation,Poor management,2020
29,29,1984,Female,"Professional, Scientific and Technical Services","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 40%"," 30%"," 30%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 30 %,1,8,5,2,1,8,6,6,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",2020
30,30,1957,Male,Education and Training,Professionals - Education Professionals,I am the only employee,1,No,Single person,1,More than 5 years,3,Regional," 50% - I spent about half of my time remote working"," 60%"," 60%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 30 %,2,8,4,0,0,8,5,1,Poor management,"IT equipment (computer, printer, etc.)",2020
31,31,1962,Male,Public Administration and Safety,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 10%"," 30%"," 60%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Less Productive By 10 %,1,8.5,3,2,0,9.5,4,3,Lack of motivation,My organisation's software and systems,2020
32,32,1958,Male,Financial and Insurance Services,Managers - Specialist Managers,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 80%"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,4,8.5,3.5,1,0,9.5,3.5,1,Feeling left out and/or isolated,My organisation's software and systems,2020
33,33,1961,Male,Arts and Recreation Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 90%"," 30%"," 30%",Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 30 %,2,8,8,6,1,10,5,8,"My living situation (e.g. location, home size, who I live with)",Connectivity (internet connection),2020
34,34,1959,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 20%"," 50% - About half of my time"," 50% - About half of my time",Strongly disagree,1,Somewhat disagree,2,Somewhat disagree,2,More Productive By 30 %,1,6,2,1,1,8,2,1,Connectivity (internet connection),I have tasks that can't be done remotely,2020
35,35,1980,Female,Retail Trade,"Clerical and administrative  - General Clerical ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 60%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Level Of The Productivity Is The Same,0.5,8,3,5,0,8,4,4,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
36,36,1991,Female,"Rental, Hiring and Real Estate Services",Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,No,Single person,1,More than 5 years,3,Metro," 0% - Rarely or never"," 1% - 9% - Less than 10% of my time"," 10%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1.5,9,4,1,0.5,9,5,1,Feeling left out and/or isolated,Poor management,2020
37,37,1973,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 40%"," 20%"," 50% - About half of my time",Somewhat disagree,2,Somewhat agree,4,Strongly agree,5,More Productive By 30 %,1,10,2,2,0,12,2,3,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",2020
38,38,1971,Female,Education and Training,Professionals - Education Professionals,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 0% - Rarely or never"," 20%"," 10%",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 30 %,1,12,2,3,0.5,12,3,3,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",2020
39,39,1996,Male,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Single person,1,Between 6 and 12 months,1,Metro," 60%"," 30%"," 40%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 20 %,3,8,4,1,1,9,5,1,Poor management,"My living situation (e.g. location, home size, who I live with)",2020
40,40,1975,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%"," 30%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,1,8,4,2,0.2,9,4,2,"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)",2020
41,41,1996,Female,Arts and Recreation Services,Professionals - Arts and Media Professionals,Between 20 and 199,4,Yes,Single person,1,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 20%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Less Productive By 20 %,2,10,2,1,0.5,10,3,3,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,2020
42,42,1987,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,More than 200,5,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 60%"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 10 %,2,8.5,4,1,0.5,9,5,2,Lack of motivation,Lack of motivation,2020
43,43,1966,Female,Health Care and Social Assistance,"Community and personal service  - Health and Welfare Support ",More than 200,5,No,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 90%"," 80%"," 80%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,4,8,2,1,0,10,2,1,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",2020
44,44,1976,Female,Retail Trade,Managers - Specialist Managers,Between 5 and 19,3,No,Single person,1,Between 1 and 5 years,2,Metro," 10%"," 50% - About half of my time"," 40%",Somewhat disagree,2,Somewhat disagree,2,Strongly disagree,1,More Productive By 50 %,2,7,11,3,0,8,12,4,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
45,45,1967,Female,Other Services,Sales  - Sales Representatives and Agents,Between 5 and 19,3,No,Couple with dependent children,4,More than 5 years,3,Metro," 10%"," 1% - 9% - Less than 10% of my time"," 50% - About half of my time",Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,1,8,5,2,0.5,8,8,2,Feeling left out and/or isolated,My organisation's software and systems,2020
46,46,1965,Male,"Professional, Scientific and Technical Services","Professionals - Legal, Social and Welfare Professionals",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 30%"," 40%"," 30%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Less Productive By 20 %,1,8,4,2,0.5,6,6,2,Lack of motivation,Management discourages remote working,2020
47,47,1961,Female,Health Care and Social Assistance,Professionals - Health Professionals,Between 5 and 19,3,No,Couple with no dependent children,2,More than 5 years,3,Metro," 10%"," 20%"," 80%",Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 10 %,0.5,6,6,2,0.5,8,4,2,Lack of motivation,Caring responsibilities,2020
48,48,1964,Male,Financial and Insurance Services,Managers - Specialist Managers,Between 20 and 199,4,Yes,Single person,1,More than 5 years,3,Metro," 0% - Rarely or never"," 80%",100% - All of my time,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 30 %,1.5,8,2.5,0.5,0,9.5,2.5,0.5,Management discourages remote working,Poor management,2020
49,49,1978,Female,Retail Trade,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 40%"," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 10 %,2.5,8.5,3,2,0.5,9,4,2,Difficulty collaborating remotely,Lack of motivation,2020
50,50,1979,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,Yes,Multiple family household,6,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 40%"," 80%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 30 %,3,7.5,2,0,0,10,4,2,Feeling left out and/or isolated,I have tasks that can't be done remotely,2020
51,51,1974,Male,Manufacturing,"Clerical and administrative  - Clerical and Office Support ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 30%"," 60%"," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 10 %,2,8,11,3,0,12,7,3,Lack of motivation,"IT equipment (computer, printer, etc.)",2020
52,52,1969,Male,Arts and Recreation Services,Professionals - Arts and Media Professionals,I am the only employee,1,No,Single person,1,More than 5 years,3,Regional," 30%"," 30%"," 60%",Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,0.1,6,6,3,0,7,6,3,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",2020
53,53,1995,Female,Retail Trade,Sales  - Sales Representatives and Agents,Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 10%"," 40%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 40 %,2,8,1,0,0.5,10,2,1,Lack of motivation,Cyber security,2020
54,54,1960,Female,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Strongly disagree,1,Strongly disagree,1,Strongly agree,5,Level Of The Productivity Is The Same,0.5,3,17.5,3,0,2,18,4,Feeling left out and/or isolated,Caring responsibilities,2020
55,55,1985,Male,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Single person,1,More than 5 years,3,Metro," 10%"," 40%"," 60%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 50 %,1.5,10,11,1.5,0,10,10,4,My organisation's software and systems,Lack of motivation,2020
56,56,1962,Male,Other Services,"Technicians and trades  - Electrotechnology and Telecommunications Trades ",More than 200,5,No,Single person,1,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1.5,8,8,0.5,0.5,8,10,0.5,Feeling left out and/or isolated,My organisation's software and systems,2020
57,57,1964,Male,Financial and Insurance Services,Professionals - ICT Professionals,Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 30%"," 50% - About half of my time"," 50% - About half of my time",Somewhat disagree,2,Somewhat disagree,2,Neither agree nor disagree,3,Less Productive By 10 %,1,8,3,2,0,8,3,3,Caring responsibilities,Connectivity (internet connection),2020
58,58,1965,Male,Health Care and Social Assistance,"Managers - Hospitality, Retail and Service Managers",More than 200,5,Yes,Single person,1,Between 1 and 5 years,2,Metro," 10%"," 20%"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 20 %,2,8,4,0,0.3,7.5,6,0,"IT equipment (computer, printer, etc.)",Caring responsibilities,2020
59,59,1988,Male,Accommodation and Food Services,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 50% - About half of my time",Strongly agree,5,Strongly agree,5,Somewhat agree,4,More Productive By 10 %,1.5,6,5,2,0.5,6,7,3,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",2020
60,60,1959,Male,Financial and Insurance Services,"Professionals - Legal, Social and Welfare Professionals",Between 1 and 4,2,Yes,Couple with no dependent children,2,More than 5 years,3,Regional," 70%"," 90%",100% - All of my time,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,More Productive By 40 %,1,8,4,5,0,9,4,5,Feeling left out and/or isolated,Connectivity (internet connection),2020
61,61,1966,Female,Arts and Recreation Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 90%",Strongly agree,5,Somewhat agree,4,Somewhat agree,4,More Productive By 50 %,3,9,2,1,0.5,10,3,2,My organisation's software and systems,"My living situation (e.g. location, home size, who I live with)",2020
62,62,1960,Male,Financial and Insurance Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 30%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Less Productive By 30 %,1,9,2,1,0,10,2,1,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",2020
63,63,1979,Female,Information Media and Telecommunications,Managers - Specialist Managers,Between 5 and 19,3,Yes,Multiple family household,6,Between 1 and 5 years,2,Metro," 10%"," 10%"," 50% - About half of my time",Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,More Productive By 20 %,2.5,9,3,2,1,9,3,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Management discourages remote working,2020
64,64,1966,Female,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,No,Single person,1,More than 5 years,3,Metro,100% - I spent all of my time remote working," 20%"," 20%",Strongly agree,5,Strongly disagree,1,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1,3,18,2,1,6,15,2,"IT equipment (computer, printer, etc.)",Lack of motivation,2020
65,65,1956,Male,Education and Training,Professionals - Education Professionals,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 30%"," 30%",Neither agree nor disagree,3,Somewhat disagree,2,Somewhat agree,4,More Productive By 20 %,3,9,2,1,1,10,2,1.5,Difficulty collaborating remotely,Connectivity (internet connection),2020
66,66,1962,Female,Health Care and Social Assistance,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,3,7.5,3.5,2,0.5,8.5,3.5,2.5,Lack of motivation,"IT equipment (computer, printer, etc.)",2020
67,67,1957,Male,Public Administration and Safety,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 70%"," 80%"," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,2,8,10,4,0,8,10,6,Lack of motivation,Connectivity (internet connection),2020
68,68,1986,Male,Health Care and Social Assistance,Clerical and administrative  - Office Managers and Program Administrators,More than 200,5,Yes,Single person,1,More than 5 years,3,Metro," 60%"," 50% - About half of my time"," 50% - About half of my time",Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Less Productive By 40 %,1,9,4,2,0.5,6,6,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,2020
69,69,1987,Female,Arts and Recreation Services,"Clerical and administrative  - Other Clerical and Administrative ",Between 1 and 4,2,No,Other one family household,5,Between 1 and 5 years,2,Metro," 0% - Rarely or never"," 50% - About half of my time"," 50% - About half of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 30 %,3.5,8.5,1,1,0.5,8.5,3,2,Difficulty collaborating remotely,Lack of motivation,2020
